Episode_ID,Asset_ID,Status_Type,Alarm_Type,Duration_Hours,Start_Time,End_Time,Primary_Department,Responsible_Team,Original_Fault_Type
0,0.0,5.0,Grid Voltage Fluctuation,1.33,2017-12-31 02:10:00,2017-12-31 03:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
1,0.0,5.0,Grid Frequency Deviation,0.67,2017-12-31 04:40:00,2017-12-31 05:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
2,0.0,5.0,Momentary Grid Loss,1.0,2017-12-31 06:20:00,2017-12-31 07:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
3,0.0,5.0,Grid Voltage Fluctuation,1.5,2017-12-31 09:00:00,2017-12-31 10:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
4,0.0,5.0,Grid Frequency Deviation,0.5,2018-01-01 06:50:00,2018-01-01 07:20:00,Grid Operations & Connectivity,Grid Management Team,Unknown
5,0.0,5.0,Extended Grid Outage,7.17,2018-01-01 10:00:00,2018-01-01 17:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
6,0.0,5.0,Main Controller Fault,6.5,2018-01-01 18:10:00,2018-01-02 00:40:00,Software & Controls,SCADA & Controls Team,Unknown
7,0.0,5.0,Extended Grid Outage,10.0,2018-01-02 01:40:00,2018-01-02 11:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
8,0.0,5.0,Momentary Grid Loss,0.17,2018-01-05 01:30:00,2018-01-05 01:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
9,0.0,5.0,Emergency Brake Activation,2.67,2018-01-05 04:20:00,2018-01-05 07:00:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
10,0.0,5.0,Grid Frequency Deviation,1.33,2018-01-05 12:10:00,2018-01-05 13:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
11,0.0,5.0,Safety System Activation,4.0,2018-01-05 14:40:00,2018-01-05 18:40:00,Electrical - Emergency Response,Emergency Response Team,Unknown
12,0.0,5.0,Grid Voltage Fluctuation,1.17,2018-01-05 19:40:00,2018-01-05 20:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
13,0.0,5.0,Overspeed Protection Triggered,3.5,2018-01-05 22:20:00,2018-01-06 01:50:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
14,0.0,5.0,Momentary Grid Loss,1.0,2018-01-06 04:10:00,2018-01-06 05:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
15,0.0,5.0,Grid Voltage Fluctuation,0.33,2018-01-06 06:50:00,2018-01-06 07:10:00,Grid Operations & Connectivity,Grid Management Team,Unknown
16,0.0,5.0,Grid Frequency Deviation,1.33,2018-01-06 08:20:00,2018-01-06 09:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
17,0.0,5.0,Extended Grid Outage,6.33,2018-01-06 15:20:00,2018-01-06 21:40:00,Grid Operations & Connectivity,Grid Management Team,Unknown
18,0.0,5.0,Grid Voltage Fluctuation,0.67,2018-01-06 23:10:00,2018-01-06 23:50:00,Grid Operations & Connectivity,Grid Management Team,Unknown
19,0.0,5.0,Overspeed Protection Triggered,2.33,2018-01-07 02:00:00,2018-01-07 04:20:00,Mechanical - Safety Systems,Mechanical Safety Team,Unknown
20,0.0,5.0,Momentary Grid Loss,0.0,2018-01-07 05:30:00,2018-01-07 05:30:00,Grid Operations & Connectivity,Grid Management Team,Unknown
